episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,5.14,0.1,19256,5,-1,-1,700,15698.0
2,5.91,0.4,14369,4,-1,-1,700,20586.0
3,5.26,0.1,15169,36,-1,-1,700,19784.0
4,5.28,0.2,17750,19,-1,-1,700,17207.0
5,6.12,0.1,16053,25,-1,-1,700,18902.0
6,5.8,0.2,17289,43,-1,-1,700,17665.0
7,6.12,0.1,18547,16,-1,-1,700,16406.0
8,6.06,0.3,13692,16,-1,-1,700,21264.0
9,5.7,0.2,16935,13,-1,-1,700,18018.0
10,5.7,0.2,13646,27,-1,-1,700,21311.0
11,6.0,0.2,16413,15,-1,-1,700,18541.0
12,5.53,0.0,17656,-1,-1,-1,700,17300.0
13,5.46,0.1,14529,3,-1,-1,700,20424.0
14,5.58,0.4,17206,1,-1,-1,700,17747.0
15,6.07,0.2,18952,1,-1,-1,700,16004.0
16,6.22,0.0,15756,-1,-1,-1,700,19196.0
17,4.77,0.1,18516,7,-1,-1,700,16442.0
18,6.2,0.3,20289,16,-1,-1,700,14663.0
19,6.64,0.1,18356,2,-1,-1,700,16597.0
20,5.52,0.1,17828,22,-1,-1,700,17125.0
21,5.82,0.2,18653,37,-1,-1,700,16300.0
22,5.56,0.2,16050,1,-1,-1,700,18908.0
23,5.22,0.2,14296,18,-1,-1,700,20655.0
24,5.99,0.1,16447,5,-1,-1,700,18507.0
25,5.0,0.2,16554,15,-1,-1,700,18404.0
26,5.4,0.0,22512,-1,-1,-1,700,12440.0
27,5.68,0.2,15417,11,-1,-1,700,19539.0
28,5.11,0.2,19261,14,-1,-1,700,15696.0
29,6.17,0.3,13208,40,-1,-1,700,21743.0
30,5.61,0.3,14654,1,-1,-1,700,20302.0
