episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,77.24,0.4,162,1,-1,-1,500,4869.59
2,76.04,0.6,606,3,-1,-1,500,4357.34
3,71.21,0.4,1206,49,-1,-1,500,3788.37
4,75.58,0.4,368,97,-1,-1,500,4721.44
5,70.5,0.8,196,1,-1,-1,500,4727.8
6,61.45,0.4,595,46,-1,-1,500,4338.74
7,58.69,0.2,949,6,-1,-1,500,4172.67
8,62.02,0.6,719,12,-1,-1,500,4299.59
9,63.51,0.0,213,-1,-1,-1,500,4773.79
10,70.67,0.4,199,1,-1,-1,500,4828.3
11,63.85,0.0,341,-1,-1,-1,500,4687.96
12,66.36,1.0,49,4,-1,221,221,2185.35
13,62.87,0.4,683,32,-1,-1,500,4333.63
14,55.86,0.4,346,1,-1,-1,500,4681.31
15,70.97,0.8,699,1,-1,-1,500,4393.4
16,65.64,0.0,117,-1,-1,-1,500,4778.03
17,69.82,0.2,659,142,-1,-1,500,4404.04
18,81.53,0.8,237,1,-1,-1,500,4830.69
19,60.55,0.2,707,12,-1,-1,500,4359.16
20,68.81,0.8,209,98,-1,-1,500,4649.73
21,67.79,0.4,264,47,-1,-1,500,4799.67
22,68.9,0.6,250,58,-1,-1,500,4850.84
23,72.31,1.0,87,1,-1,152,152,1506.1
24,67.42,0.6,428,41,-1,-1,500,4772.83
25,84.33,0.8,308,76,-1,-1,500,4779.79
26,78.56,0.2,1711,33,-1,-1,500,3837.71
27,76.81,0.8,881,38,-1,-1,500,4215.11
28,66.07,0.8,306,39,-1,-1,500,4613.36
29,65.03,0.6,780,6,-1,-1,500,4266.06
30,84.12,0.2,601,29,-1,-1,500,4308.59
