episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,0.76,0.0,1488,-1,-1,-1,300,10.0
2,0.2,0.0,1500,-1,-1,-1,300,0.0
3,0.76,0.0,1491,-1,-1,-1,300,7.0
4,0.32,0.333,2098,1,-1,-1,300,1.0
5,0.84,0.333,1186,1,-1,-1,300,11.0
6,1.08,0.0,1023,-1,-1,-1,300,580.33
7,0.2,0.0,900,-1,-1,-1,300,0.0
8,0.36,0.0,1498,-1,-1,-1,300,0.0
9,0.4,0.0,1198,-1,-1,-1,300,1.0
10,0.36,0.0,1499,-1,-1,-1,300,0.0
11,0.32,0.0,1797,-1,-1,-1,300,2.0
12,0.28,0.0,1498,-1,-1,-1,300,1.0
13,0.96,0.0,1476,-1,-1,-1,300,23.0
14,0.68,0.0,1490,-1,-1,-1,300,7.0
15,0.4,0.0,1498,-1,-1,-1,300,1.0
16,0.64,0.0,1488,-1,-1,-1,300,10.0
17,0.52,0.0,1192,-1,-1,-1,300,6.0
18,1.04,0.0,1484,-1,-1,-1,300,13.0
19,0.44,0.0,1196,-1,-1,-1,300,3.0
20,0.56,0.0,1493,-1,-1,-1,300,4.0
21,0.32,0.0,597,-1,-1,-1,300,2.0
22,0.68,0.0,1491,-1,-1,-1,300,7.0
23,2.0,0.0,1999,-1,-1,-1,300,46.0
24,0.64,0.0,1193,-1,-1,-1,300,5.0
25,0.52,0.0,1495,-1,-1,-1,300,3.0
26,1.32,0.333,1170,1,-1,-1,300,29.0
27,1.28,0.0,1445,-1,-1,-1,300,53.0
28,1.12,0.0,1481,-1,-1,-1,300,16.0
29,1.12,0.0,1012,-1,-1,-1,300,582.7
30,1.72,0.333,1184,1,-1,-1,300,312.0
