episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,31.83,0.4,38720,22,-1,-1,1000,55083.68
2,33.9,0.4,48959,118,-1,-1,1000,56233.42
3,43.11,0.667,34861,53,-1,-1,1000,64681.88
4,31.79,0.267,48018,69,-1,-1,1000,45424.69
5,41.18,0.467,32785,36,-1,-1,1000,61065.91
6,35.43,0.733,32852,32,-1,-1,1000,54752.92
7,43.56,0.533,37800,67,-1,-1,1000,66148.17
8,26.26,0.667,47816,8,-1,-1,1000,44218.6
9,38.02,0.6,42159,1,-1,-1,1000,54461.74
10,31.53,0.8,42640,1,-1,-1,1000,48688.03
11,40.56,0.4,43218,1,-1,-1,1000,61658.03
12,32.41,0.667,42857,1,-1,-1,1000,47044.13
13,47.65,0.733,34036,77,-1,-1,1000,65608.23
14,41.16,0.467,38706,1,-1,-1,1000,63481.2
15,40.32,0.667,41953,1,-1,-1,1000,54701.45
16,37.12,0.667,41670,3,-1,-1,1000,57201.83
17,31.69,0.533,45777,3,-1,-1,1000,52188.27
18,42.17,0.667,46411,40,-1,-1,1000,59730.37
19,42.61,0.667,43355,2,-1,-1,1000,57842.12
20,39.3,0.533,42480,1,-1,-1,1000,56723.87
21,41.91,0.667,43864,11,-1,-1,1000,59542.21
22,37.14,0.533,38463,5,-1,-1,1000,55416.26
23,45.8,0.867,35914,1,-1,-1,1000,66288.2
24,41.82,0.8,28496,1,-1,-1,1000,60435.34
25,36.22,0.6,35987,1,-1,-1,1000,59870.04
26,36.17,0.733,50268,1,-1,-1,1000,53520.37
27,50.17,0.8,34156,4,-1,-1,1000,65835.41
28,40.75,0.667,32439,6,-1,-1,1000,62603.59
29,44.04,0.8,30127,7,-1,-1,1000,66969.38
30,37.0,0.6,39615,1,-1,-1,1000,59394.82
