episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,1.68,0.0,8484,-1,-1,-1,600,2726.0
2,2.59,0.25,3650,58,-1,-1,600,8209.85
3,4.44,0.125,11986,60,-1,-1,600,1710.92
4,11.38,0.125,8502,53,-1,-1,600,4083.45
5,5.16,0.125,5734,189,-1,-1,600,6759.84
6,4.78,0.5,8653,24,-1,-1,600,5346.65
7,13.78,0.125,5415,308,-1,-1,600,7222.28
8,1.78,0.0,8464,-1,-1,-1,600,4927.42
9,12.17,0.5,7716,28,-1,-1,600,6046.1
10,12.26,0.375,9231,27,-1,-1,600,5568.41
11,14.14,0.0,6401,-1,-1,-1,600,7314.76
12,2.17,0.0,5222,-1,-1,-1,600,4804.64
13,2.08,0.125,7204,21,-1,-1,600,3811.87
14,1.95,0.125,7086,5,-1,-1,600,3253.74
15,2.87,0.125,5289,1,-1,-1,600,7151.78
16,10.09,0.125,8334,189,-1,-1,600,5092.32
17,9.78,0.375,8285,26,-1,-1,600,6045.88
18,9.14,0.375,5172,213,-1,-1,600,7965.66
19,2.72,0.25,8237,21,-1,-1,600,5319.27
20,9.02,0.375,9823,37,-1,-1,600,3574.84
21,6.03,0.375,9922,89,-1,-1,600,2744.0
22,4.04,0.0,8806,-1,-1,-1,600,4587.39
23,2.28,0.125,6378,5,-1,-1,600,5670.93
24,2.49,0.0,6352,-1,-1,-1,600,3648.03
25,5.62,0.0,11316,-1,-1,-1,600,3856.78
26,16.17,0.375,7250,22,-1,-1,600,6606.09
27,3.12,0.0,5322,-1,-1,-1,600,7079.33
28,4.22,0.0,5891,-1,-1,-1,600,7462.81
29,20.12,0.75,5770,30,-1,-1,600,7383.3
30,7.82,0.125,8611,9,-1,-1,600,4549.75
