episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,15.73,0.125,2100,76,-1,-1,600,9836.61
2,16.53,0.125,1411,97,-1,-1,600,10410.05
3,14.26,0.125,1496,33,-1,-1,600,10366.1
4,13.8,0.25,2079,140,-1,-1,600,9890.59
5,16.16,0.125,841,568,-1,-1,600,10825.77
6,15.32,0.125,1426,22,-1,-1,600,10396.77
7,15.4,0.125,1536,92,-1,-1,600,10431.61
8,16.46,0.125,895,72,-1,-1,600,10843.71
9,14.1,0.25,1955,47,-1,-1,600,9932.71
10,16.41,0.25,886,195,-1,-1,600,10748.42
11,14.35,0.125,2091,1,-1,-1,600,9920.75
12,15.41,0.125,999,353,-1,-1,600,10768.98
13,16.2,0.25,901,39,-1,-1,600,10847.12
14,15.86,0.375,1476,6,-1,-1,600,10270.98
15,15.0,0.125,1342,415,-1,-1,600,10414.51
16,15.7,0.25,368,34,-1,-1,600,11251.0
17,16.16,0.5,847,47,-1,-1,600,10753.66
18,16.87,0.375,947,175,-1,-1,600,10664.37
19,13.64,0.125,2683,248,-1,-1,600,9529.21
20,13.79,0.25,1691,142,-1,-1,600,10341.33
21,16.69,0.375,373,2,-1,-1,600,11167.08
22,16.17,0.5,305,3,-1,-1,600,11227.04
23,13.64,0.375,1698,52,-1,-1,600,10377.86
24,16.71,0.5,936,59,-1,-1,600,10730.12
25,13.4,0.0,2701,-1,-1,-1,600,9499.87
26,15.02,0.25,1648,85,-1,-1,600,10259.66
27,16.2,0.5,254,14,-1,-1,600,11242.53
28,14.86,0.375,1180,97,-1,-1,600,10682.28
29,15.16,0.125,1457,188,-1,-1,600,10431.2
30,15.31,0.25,1679,1,-1,-1,600,10328.8
