episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,79.83,0.7,363933,1,-1,-1,700,24680.13
2,82.44,0.7,314190,1,-1,-1,700,25065.49
3,82.74,0.5,322418,1,-1,-1,700,24865.58
4,84.52,0.6,352426,13,-1,-1,700,25272.98
5,83.68,0.6,325433,1,-1,-1,700,24560.57
6,78.06,0.7,350460,1,-1,-1,700,24206.81
7,83.88,0.7,340846,1,-1,-1,700,24478.04
8,83.29,0.5,312250,1,-1,-1,700,24603.5
9,84.55,0.5,364360,1,-1,-1,700,25558.78
10,75.34,0.5,358020,2,-1,-1,700,24698.49
11,78.02,0.5,338122,6,-1,-1,700,24671.9
12,83.32,0.7,347649,1,-1,-1,700,26153.28
13,83.42,0.5,332412,6,-1,-1,700,25344.85
14,77.95,0.1,388386,30,-1,-1,700,24655.55
15,80.85,0.6,323096,1,-1,-1,700,24979.86
16,78.9,0.6,365685,3,-1,-1,700,24391.75
17,82.2,0.6,337955,28,-1,-1,700,25485.99
18,73.14,0.4,375050,1,-1,-1,700,24714.94
19,70.94,0.5,392500,1,-1,-1,700,25149.33
20,79.99,0.6,318147,1,-1,-1,700,24521.11
21,80.19,0.3,369525,8,-1,-1,700,25485.83
22,76.66,0.9,373443,1,-1,-1,700,25224.36
23,81.6,0.8,369449,1,-1,-1,700,25294.32
24,73.35,0.6,382406,1,-1,-1,700,25166.78
25,76.67,0.7,377368,1,-1,-1,700,25396.27
26,79.02,0.7,273091,1,-1,-1,700,22298.11
27,81.01,0.7,325494,13,-1,-1,700,24650.1
28,74.14,0.3,373292,1,-1,-1,700,24754.92
29,74.84,0.5,307814,1,-1,-1,700,23852.33
30,77.84,0.4,338334,3,-1,-1,700,24373.57
