episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,3.04,0.0,1642,-1,-1,-1,500,3349.0
2,1.76,0.125,3002,24,-1,-1,500,1991.0
3,1.47,0.125,3462,6,-1,-1,500,1532.0
4,2.87,0.125,2487,2,-1,-1,500,2504.0
5,1.37,0.0,3659,-1,-1,-1,500,1333.0
6,1.51,0.125,2952,27,-1,-1,500,2040.0
7,2.1,0.0,1999,-1,-1,-1,500,2992.0
8,1.52,0.0,3443,-1,-1,-1,500,1549.0
9,1.98,0.0,2457,-1,-1,-1,500,2534.0
10,1.48,0.0,2939,-1,-1,-1,500,2052.0
11,1.9,0.0,2430,-1,-1,-1,500,2561.0
12,1.49,0.0,3953,-1,-1,-1,500,1041.0
13,0.71,0.0,4451,-1,-1,-1,500,544.0
14,1.84,0.0,3423,-1,-1,-1,500,1568.0
15,1.69,0.125,3939,1,-1,-1,500,1052.0
16,1.46,0.125,3916,1,-1,-1,500,1076.0
17,2.08,0.125,3867,32,-1,-1,500,1124.0
18,1.43,0.0,4862,-1,-1,-1,500,129.0
19,2.18,0.0,2834,-1,-1,-1,500,2159.0
20,2.11,0.125,2491,14,-1,-1,500,2503.0
21,1.96,0.125,2921,7,-1,-1,500,2069.0
22,2.02,0.0,2939,-1,-1,-1,500,2053.0
23,1.54,0.125,4856,22,-1,-1,500,136.0
24,2.28,0.0,1491,-1,-1,-1,500,3500.0
25,2.32,0.0,2928,-1,-1,-1,500,2063.0
26,1.78,0.0,4357,-1,-1,-1,500,634.0
27,2.18,0.125,2483,1,-1,-1,500,2510.0
28,1.8,0.0,3450,-1,-1,-1,500,1543.0
29,2.61,0.0,3343,-1,-1,-1,500,1647.0
30,1.59,0.125,4830,10,-1,-1,500,163.0
