episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,80.76,0.667,1109,14,-1,-1,300,813.17
2,73.8,0.333,1180,12,-1,-1,300,969.68
3,68.08,1.0,9,3,-1,27,27,121.98
4,65.28,0.333,1555,1,-1,-1,300,927.38
5,70.6,0.333,1571,22,-1,-1,300,967.74
6,84.48,1.0,1,16,-1,29,29,141.22
7,59.52,0.667,1709,8,-1,-1,300,885.42
8,58.0,1.0,0,1,-1,20,20,98.57
9,78.72,0.0,1410,-1,-1,-1,300,1023.88
10,70.24,0.333,1166,1,-1,-1,300,821.75
11,86.44,0.333,823,1,-1,-1,300,958.83
12,77.92,0.333,811,1,-1,-1,300,1030.32
13,45.04,0.0,1262,-1,-1,-1,300,761.53
14,60.68,0.667,1497,1,-1,-1,300,981.53
15,79.12,0.667,948,1,-1,-1,300,1073.96
16,72.36,1.0,14,1,-1,45,45,204.49
17,86.76,0.0,1387,-1,-1,-1,300,985.27
18,71.68,0.667,1744,8,-1,-1,300,951.39
19,80.04,0.667,866,1,-1,-1,300,984.34
20,47.68,1.0,104,2,-1,46,46,122.18
21,62.6,0.667,1570,25,-1,-1,300,910.42
22,61.04,0.333,1811,1,-1,-1,300,914.36
23,84.88,0.667,1237,2,-1,-1,300,1043.87
24,87.72,0.333,1220,19,-1,-1,300,1046.49
25,58.44,0.0,1361,-1,-1,-1,300,727.32
26,63.64,0.333,1598,1,-1,-1,300,975.24
27,72.6,1.0,26,1,-1,31,31,134.17
28,76.2,0.333,847,90,-1,-1,300,851.07
29,61.0,0.333,1444,1,-1,-1,300,955.09
30,71.72,1.0,10,8,-1,26,26,137.53
