episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,48.37,0.0,2000,-1,-1,-1,500,2493.0
2,76.63,0.4,878,19,-1,-1,500,2670.86
3,65.9,0.4,520,4,-1,-1,500,3872.75
4,71.01,0.2,1038,53,-1,-1,500,3112.95
5,63.91,0.0,1650,-1,-1,-1,500,2014.34
6,74.4,0.2,16,8,-1,-1,500,3718.67
7,59.58,0.0,1243,-1,-1,-1,500,3446.87
8,70.73,0.2,745,4,-1,-1,500,2499.4
9,77.4,0.4,981,17,-1,-1,500,2310.62
10,49.89,0.2,1452,11,-1,-1,500,3005.2
11,70.35,0.6,980,3,-1,-1,500,2350.61
12,73.2,0.2,1361,62,-1,-1,500,2718.77
13,67.83,0.2,1503,22,-1,-1,500,3053.37
14,64.81,0.0,2786,-1,-1,-1,500,2937.26
15,85.77,0.2,464,81,-1,-1,500,3415.8
16,78.59,0.4,509,37,-1,-1,500,3804.3
17,82.2,0.0,1156,-1,-1,-1,500,3211.05
18,69.14,0.0,1054,-1,-1,-1,500,3020.12
19,80.44,0.4,1215,38,-1,-1,500,3179.55
20,60.5,0.2,833,70,-1,-1,500,3388.0
21,71.12,0.2,935,1,-1,-1,500,3553.41
22,52.48,0.4,1194,28,-1,-1,500,3308.97
23,63.2,0.4,503,1,-1,-1,500,3742.93
24,60.74,0.0,837,-1,-1,-1,500,2834.63
25,74.27,0.2,1003,23,-1,-1,500,2283.41
26,76.17,0.2,497,67,-1,-1,500,4077.46
27,79.86,0.2,1335,8,-1,-1,500,2625.45
28,69.98,0.2,3,16,-1,-1,500,3883.81
29,70.66,0.2,1011,2,-1,-1,500,3011.88
30,78.99,0.0,519,-1,-1,-1,500,3812.63
