episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,0.64,0.0,1489,-1,-1,-1,300,9.0
2,0.2,0.0,1500,-1,-1,-1,300,0.0
3,0.44,0.0,1494,-1,-1,-1,300,5.0
4,0.28,0.333,2098,1,-1,-1,300,1.0
5,1.12,0.333,1478,1,-1,-1,300,18.0
6,0.24,0.0,1499,-1,-1,-1,300,0.0
7,0.88,0.0,1484,-1,-1,-1,300,13.0
8,0.48,0.0,1493,-1,-1,-1,300,5.0
9,1.28,0.0,1475,-1,-1,-1,300,23.0
10,0.24,0.0,1499,-1,-1,-1,300,0.0
11,0.52,0.0,1800,-1,-1,-1,300,299.0
12,0.52,0.0,1492,-1,-1,-1,300,7.0
13,0.6,0.0,1491,-1,-1,-1,300,7.0
14,0.48,0.0,1491,-1,-1,-1,300,6.0
15,0.24,0.0,1498,-1,-1,-1,300,1.0
16,0.68,0.0,1489,-1,-1,-1,300,9.0
17,0.64,0.0,1489,-1,-1,-1,300,8.0
18,0.6,0.0,1490,-1,-1,-1,300,7.0
19,0.84,0.0,1484,-1,-1,-1,300,14.0
20,1.04,0.0,1481,-1,-1,-1,300,17.0
21,1.04,0.333,1479,5,-1,-1,300,17.0
22,0.72,0.0,1487,-1,-1,-1,300,11.0
23,1.52,0.0,1469,-1,-1,-1,300,28.0
24,0.76,0.0,1486,-1,-1,-1,300,11.0
25,0.52,0.0,1493,-1,-1,-1,300,6.0
26,0.96,0.333,1480,1,-1,-1,300,16.0
27,0.6,0.0,1490,-1,-1,-1,300,7.0
28,1.48,0.0,1137,-1,-1,-1,300,360.0
29,0.6,0.0,1490,-1,-1,-1,300,8.0
30,1.08,0.0,1182,-1,-1,-1,300,314.0
