episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage
1,0.64,0.0,1716,-1,-1
2,3.09,0.2,1318,462,-1
3,4.93,0.2,103,11,-1
4,4.56,0.2,613,168,-1
5,4.53,0.0,943,-1,-1
6,6.69,0.2,531,1,-1
7,4.78,0.2,1187,273,-1
8,1.18,0.0,1288,-1,-1
9,3.09,0.2,804,425,-1
10,2.71,0.2,1031,399,-1
11,2.34,0.0,524,-1,-1
12,0.88,0.0,1469,-1,-1
13,3.18,0.2,623,24,-1
14,4.2,0.2,595,357,-1
15,2.59,0.2,986,33,-1
16,6.22,0.4,99,118,-1
17,3.51,0.2,371,454,-1
18,1.35,0.0,1964,-1,-1
19,2.83,0.2,1579,473,-1
20,3.72,0.0,1253,-1,-1
