episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage
1,8.42,0.0,1670,-1,-1
2,8.76,0.4,1422,308,-1
3,6.08,0.4,2359,1,-1
4,7.86,0.4,2454,70,-1
5,9.3,0.4,1070,49,-1
6,7.13,0.2,1989,69,-1
7,2.34,0.2,2939,1,-1
8,7.54,0.4,2409,24,-1
9,10.7,0.2,2781,8,-1
10,8.12,0.0,1974,-1,-1
11,7.05,0.0,1953,-1,-1
12,7.31,0.4,2457,28,-1
13,10.13,0.4,1750,1,-1
14,7.32,0.4,2363,3,-1
15,7.08,0.2,1529,100,-1
16,8.34,0.2,710,16,-1
17,8.01,0.2,2460,29,-1
18,7.0,0.0,1872,-1,-1
19,7.78,0.4,1492,205,-1
20,6.32,0.2,1995,2,-1
