episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage
1,22.74,0.4,17797,234,-1
2,25.43,0.6,16074,1,-1
3,25.92,0.6,14776,14,-1
4,26.31,0.6,16252,121,-1
5,27.59,0.0,18409,-1,-1
6,31.81,0.6,16390,11,-1
7,20.12,1.0,18099,1,-1
8,28.63,0.4,14584,29,-1
9,34.97,0.8,22321,15,-1
10,26.19,0.4,18408,1,-1
11,21.35,0.2,17949,10,-1
12,25.95,0.6,14596,1,-1
13,29.1,0.6,22874,11,-1
14,25.49,0.8,20913,2,-1
15,28.17,0.6,18641,10,-1
16,29.9,0.6,12254,1,-1
17,29.78,0.8,21513,2,-1
18,22.19,0.6,15200,364,-1
19,30.38,1.0,17668,11,-1
20,28.06,0.6,17110,22,-1
