episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,11.2,0.0,462,-1,-1,-1,300,776.79
2,8.92,0.333,613,3,-1,-1,300,668.33
3,14.88,0.667,187,20,-1,-1,300,982.29
4,14.04,0.0,90,-1,-1,-1,300,1057.85
5,10.56,0.333,607,10,-1,-1,300,669.36
6,13.2,0.333,337,172,-1,-1,300,854.34
7,10.12,0.0,663,-1,-1,-1,300,628.34
8,10.2,0.333,690,156,-1,-1,300,597.34
9,12.12,0.333,358,36,-1,-1,300,852.13
10,6.36,0.667,925,134,-1,-1,300,404.27
11,8.6,0.667,769,23,-1,-1,300,584.49
12,9.48,0.333,686,132,-1,-1,300,602.43
13,9.76,0.333,722,235,-1,-1,300,599.05
14,6.88,0.0,898,-1,-1,-1,300,433.03
15,15.0,0.0,58,-1,-1,-1,300,1077.69
16,10.88,0.0,624,-1,-1,-1,300,664.28
17,10.76,0.0,660,-1,-1,-1,300,633.75
18,5.12,0.333,1016,123,-1,-1,300,356.97
19,9.6,0.333,666,67,-1,-1,300,638.47
20,9.24,0.333,631,19,-1,-1,300,641.37
21,11.76,0.333,344,299,-1,-1,300,865.42
22,15.24,0.333,131,119,-1,-1,300,1010.72
23,11.84,0.0,384,-1,-1,-1,300,823.66
24,5.52,0.333,950,119,-1,-1,300,384.78
25,9.88,0.333,685,213,-1,-1,300,642.86
26,13.72,0.333,314,51,-1,-1,300,886.86
27,14.4,0.0,357,-1,-1,-1,300,867.05
28,4.68,0.0,1001,-1,-1,-1,300,442.06
29,9.36,0.333,638,13,-1,-1,300,653.67
30,13.08,0.667,129,52,-1,-1,300,1035.46
