episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,59.32,0.333,1168,1,-1,-1,300,440.49
2,71.08,0.333,1018,1,-1,-1,300,406.74
3,44.88,0.333,2095,1,-1,-1,300,844.99
4,69.0,0.0,1094,-1,-1,-1,300,517.32
5,59.28,0.333,1027,1,-1,-1,300,405.41
6,67.12,0.667,1455,1,-1,-1,300,719.73
7,56.76,0.333,1160,1,-1,-1,300,542.4
8,72.24,0.333,959,80,-1,-1,300,548.64
9,81.64,0.333,1119,161,-1,-1,300,598.8
10,53.08,0.0,1207,-1,-1,-1,300,537.43
11,64.08,0.333,1075,1,-1,-1,300,325.03
12,79.32,0.667,1090,69,-1,-1,300,582.98
13,82.4,0.0,1003,-1,-1,-1,300,430.16
14,61.68,0.667,1204,30,-1,-1,300,503.02
15,59.72,0.333,1215,1,-1,-1,300,495.34
16,51.84,0.0,1200,-1,-1,-1,300,172.22
17,55.44,0.0,1231,-1,-1,-1,300,459.64
18,58.68,0.333,1159,14,-1,-1,300,542.63
19,66.12,0.0,1175,-1,-1,-1,300,538.4
20,65.76,0.333,1089,61,-1,-1,300,464.04
21,49.0,0.0,1029,-1,-1,-1,300,396.48
22,55.48,0.333,1216,1,-1,-1,300,672.78
23,55.24,0.333,1581,3,-1,-1,300,627.65
24,62.48,0.333,1103,1,-1,-1,300,536.92
25,67.4,0.333,1023,72,-1,-1,300,405.44
26,69.12,0.0,1213,-1,-1,-1,300,524.16
27,84.48,0.667,1094,1,-1,-1,300,573.09
28,48.04,0.0,1206,-1,-1,-1,300,491.96
29,69.56,0.667,1099,2,-1,-1,300,600.25
30,61.76,0.333,1068,92,-1,-1,300,370.37
