episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,95.82,0.5,902,147,270,-1,600,16655.52
2,97.63,0.125,805,62,180,-1,600,16739.4
3,96.4,0.125,925,138,126,-1,600,16593.86
4,97.77,0.625,483,53,147,-1,600,16869.4
5,98.12,0.5,740,9,126,-1,600,15656.06
6,97.31,0.375,1523,35,210,-1,600,15891.07
7,98.22,0.5,869,51,166,-1,600,15971.19
8,97.69,0.625,1134,1,196,-1,600,16608.67
9,98.63,0.625,996,1,159,-1,600,15836.99
10,94.57,0.5,755,55,189,-1,600,16133.01
11,94.72,0.625,1547,39,334,-1,600,16345.86
12,96.22,0.375,1214,27,245,-1,600,16392.92
13,98.45,0.375,725,9,141,-1,600,16727.78
14,97.35,0.375,3375,7,277,-1,600,14218.25
15,94.99,0.5,2658,11,264,-1,600,15151.87
16,97.05,0.375,1828,7,233,-1,600,15854.56
17,97.89,0.625,1426,2,147,-1,600,16476.03
18,97.93,0.75,1431,9,146,-1,600,15583.26
19,98.45,0.625,1780,5,222,-1,600,15282.27
20,93.8,0.625,1854,9,281,-1,600,16124.65
21,96.4,0.875,2071,12,237,-1,600,15116.0
22,97.68,0.625,2536,11,156,-1,600,15513.16
23,96.27,0.5,677,1,318,-1,600,17205.27
24,98.4,0.375,1823,27,165,-1,600,16118.47
25,99.58,0.625,846,12,119,-1,600,16468.05
26,98.66,0.25,717,182,150,-1,600,17166.61
27,96.09,0.25,1560,82,195,-1,600,15953.46
28,99.31,0.875,1166,18,123,-1,600,16426.03
29,97.81,0.625,469,95,149,-1,600,17158.67
30,98.71,0.75,1353,56,168,-1,600,16057.96
