n_agents,coverage,detection,collisions,s1t
5,48.343,0.15000000000000002,8.1,44.75
10,63.727,0.19,35.4,30.916666666666668
25,83.56199999999998,0.36000000000000004,226.45,27.88235294117647
50,92.02850000000001,0.54,926.85,6.7
100,96.65350000000002,0.6599999999999999,3368.5,3.85
