episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage
1,8.01,0.2,532,374,-1
2,6.58,0.0,1011,-1,-1
3,9.16,0.0,44,-1,-1
4,9.66,0.0,96,-1,-1
5,8.23,0.2,559,323,-1
6,9.47,0.2,86,1,-1
7,10.24,0.2,57,58,-1
8,7.5,0.2,1022,30,-1
9,9.92,0.6,67,29,-1
10,9.03,0.2,41,298,-1
11,10.13,0.6,33,41,-1
12,8.01,0.0,571,-1,-1
13,10.12,0.2,47,177,-1
14,10.43,0.0,66,-1,-1
15,10.48,0.6,81,52,-1
16,10.28,0.6,91,20,-1
17,10.17,0.2,43,93,-1
18,7.79,0.0,573,-1,-1
19,11.13,0.4,85,7,-1
20,10.4,0.4,121,189,-1
