episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage
1,19.7,0.0,125,-1,-1
2,20.68,0.4,111,7,-1
3,18.34,0.4,607,1,-1
4,18.36,0.2,573,55,-1
5,18.22,0.4,137,117,-1
6,18.17,0.4,607,63,-1
7,15.99,0.6,1603,1,-1
8,16.17,0.6,1156,200,-1
9,19.5,0.4,538,295,-1
10,15.48,0.2,1143,312,-1
11,18.76,0.6,191,89,-1
12,19.38,0.2,597,159,-1
13,17.87,0.2,320,28,-1
14,18.77,0.4,596,113,-1
15,14.58,1.0,92,25,-1
16,20.41,0.2,105,276,-1
17,15.65,0.0,685,-1,-1
18,16.61,0.6,710,157,-1
19,20.6,0.2,123,39,-1
20,17.37,0.4,1094,1,-1
