episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,71.38,0.2,503,1,-1,-1,500,4374.97
2,69.73,0.0,501,-1,-1,-1,500,3934.9
3,71.65,0.6,1152,20,-1,-1,500,3681.4
4,79.4,0.0,22,-1,-1,-1,500,4535.76
5,72.84,0.0,1654,-1,-1,-1,500,2981.9
6,71.3,0.0,523,-1,-1,-1,500,4302.66
7,80.35,0.2,516,67,-1,-1,500,3848.61
8,71.18,0.4,509,37,-1,-1,500,3678.67
9,66.94,0.0,24,-1,-1,-1,500,4826.69
10,82.1,0.4,1368,5,-1,-1,500,2985.47
11,72.45,0.4,992,43,-1,-1,500,3955.13
12,77.64,0.4,969,4,-1,-1,500,4200.61
13,81.64,0.0,1193,-1,-1,-1,500,3760.12
14,82.97,0.2,11,498,-1,-1,500,4394.67
15,65.79,0.0,1101,-1,-1,-1,500,3408.66
16,81.68,0.0,436,-1,-1,-1,500,4406.12
17,88.96,0.0,1259,-1,-1,-1,500,3359.94
18,76.2,0.0,412,-1,-1,-1,500,4309.4
19,82.29,0.2,1233,64,-1,-1,500,3490.31
20,75.57,0.4,62,39,-1,-1,500,4566.9
21,66.53,0.0,8,-1,-1,-1,500,5236.05
22,75.48,0.2,945,40,-1,-1,500,4754.53
23,79.66,0.2,436,2,-1,-1,500,4389.22
24,79.07,0.4,26,15,-1,-1,500,4935.04
25,79.41,0.2,16,99,-1,-1,500,4578.52
26,73.97,0.2,1813,31,-1,-1,500,3175.8
27,67.35,0.2,611,312,-1,-1,500,4364.2
28,85.55,0.2,823,13,-1,-1,500,3659.12
29,78.51,0.2,726,18,-1,-1,500,4024.25
30,76.19,0.0,785,-1,-1,-1,500,4671.89
