episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,81.92,0.333,308,17,-1,-1,300,1339.75
2,96.68,0.0,2,-1,42,-1,300,1745.81
3,97.8,0.0,2,-1,107,-1,300,1761.38
4,97.72,0.333,19,4,50,-1,300,1687.58
5,69.04,0.333,93,105,-1,-1,300,1414.86
6,82.92,0.0,1,-1,-1,-1,300,1731.67
7,98.44,1.0,136,14,31,149,149,724.69
8,87.56,0.667,103,1,-1,-1,300,1608.02
9,78.08,1.0,0,22,-1,41,41,258.89
10,95.68,0.0,300,-1,29,-1,300,1264.55
11,99.44,0.667,0,1,39,-1,300,1753.23
12,87.8,0.333,66,22,-1,-1,300,1613.43
13,74.0,0.333,303,11,-1,-1,300,1441.27
14,77.6,1.0,31,9,-1,144,144,866.07
15,90.32,0.667,4,1,217,-1,300,1342.99
16,89.24,0.0,2,-1,-1,-1,300,1634.36
17,91.76,0.667,29,117,134,-1,300,1479.38
18,90.88,0.333,99,23,191,-1,300,1671.26
19,85.4,0.0,14,-1,-1,-1,300,1738.77
20,71.48,0.333,623,7,-1,-1,300,1087.18
21,94.16,0.667,232,6,221,-1,300,1564.06
22,96.2,0.333,41,10,45,-1,300,1677.9
23,94.44,0.333,20,280,40,-1,300,1711.53
24,81.12,0.0,6,-1,-1,-1,300,1664.93
25,86.6,0.333,323,214,-1,-1,300,1398.65
26,92.56,0.667,67,17,260,-1,300,1631.32
27,84.4,0.667,7,3,-1,-1,300,1698.34
28,77.28,0.333,302,28,-1,-1,300,1357.66
29,98.12,0.667,59,31,119,-1,300,1604.09
30,66.56,0.333,53,4,-1,-1,300,1669.71
