episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,3.78,0.4,514,7,-1,-1,500,4477.0
2,3.75,0.2,949,12,-1,-1,500,4041.0
3,2.96,0.2,988,37,-1,-1,500,4002.0
4,2.06,0.0,1991,-1,-1,-1,500,3001.0
5,1.97,0.0,2447,-1,-1,-1,500,2544.0
6,3.81,0.0,1448,-1,-1,-1,500,3542.0
7,2.93,0.0,2852,-1,-1,-1,500,2138.0
8,3.03,0.2,1162,3,-1,-1,500,3831.0
9,2.12,0.0,1989,-1,-1,-1,500,3004.0
10,1.23,0.0,3958,-1,-1,-1,500,1035.0
11,1.77,0.0,2476,-1,-1,-1,500,2517.0
12,4.21,0.4,967,32,-1,-1,500,4023.0
13,2.55,0.0,2574,-1,-1,-1,500,2418.0
14,4.03,0.0,983,-1,-1,-1,500,4008.0
15,3.62,0.0,995,-1,-1,-1,500,3995.0
16,2.34,0.0,1977,-1,-1,-1,500,3015.0
17,3.82,0.8,946,5,-1,-1,500,4044.0
18,3.01,0.0,1945,-1,-1,-1,500,3046.0
19,3.95,0.0,1052,-1,-1,-1,500,3939.0
20,2.74,0.0,3824,-1,-1,-1,500,1168.0
21,2.29,0.0,2813,-1,-1,-1,500,2179.0
22,2.92,0.0,1959,-1,-1,-1,500,3031.0
23,2.65,0.0,2436,-1,-1,-1,500,2556.0
24,3.47,0.4,1702,9,-1,-1,500,3289.0
25,2.71,0.2,1491,1,-1,-1,500,3501.0
26,2.03,0.2,2457,21,-1,-1,500,2535.0
27,2.58,0.0,2472,-1,-1,-1,500,2520.0
28,4.08,0.2,576,50,-1,-1,500,4414.0
29,3.14,0.4,2371,27,-1,-1,500,2621.0
30,2.44,0.2,1984,7,-1,-1,500,3007.0
