episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,13.27,0.125,182,484,-1,-1,500,3647.84
2,11.87,0.125,242,44,-1,-1,500,3660.3
3,10.8,0.125,295,10,-1,-1,500,3599.22
4,12.61,0.0,109,-1,-1,-1,500,3702.54
5,11.86,0.125,602,50,-1,-1,500,3337.44
6,10.32,0.125,571,310,-1,-1,500,3360.45
7,10.28,0.25,671,176,-1,-1,500,3311.84
8,9.0,0.25,1177,258,-1,-1,500,2873.65
9,11.19,0.25,648,156,-1,-1,500,3353.68
10,12.17,0.375,161,8,-1,-1,500,3707.53
11,10.74,0.25,1131,209,-1,-1,500,2965.04
12,11.05,0.25,840,199,-1,-1,500,3177.45
13,8.57,0.25,2047,2,-1,-1,500,2226.23
14,11.08,0.375,1040,18,-1,-1,500,3001.52
15,12.56,0.5,105,4,-1,-1,500,3728.54
16,13.01,0.125,112,48,-1,-1,500,3721.24
17,11.91,0.0,86,-1,-1,-1,500,3711.79
18,12.85,0.0,540,-1,-1,-1,500,3373.79
19,12.43,0.125,570,452,-1,-1,500,3377.32
20,9.87,0.0,1184,-1,-1,-1,500,3011.01
21,9.27,0.125,1610,282,-1,-1,500,2557.24
22,11.2,0.25,675,111,-1,-1,500,3326.18
23,10.3,0.375,1201,24,-1,-1,500,2976.9
24,13.95,0.625,127,35,-1,-1,500,3720.27
25,10.29,0.0,647,-1,-1,-1,500,3351.13
26,9.2,0.25,1110,202,-1,-1,500,2965.38
27,11.6,0.25,581,128,-1,-1,500,3366.41
28,9.47,0.25,1105,403,-1,-1,500,2969.7
29,11.5,0.125,687,476,-1,-1,500,3251.93
30,10.17,0.0,646,-1,-1,-1,500,3320.35
