episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,9.15,0.3,16329,98,-1,-1,700,10644.1
2,7.3,0.3,22114,3,-1,-1,700,11124.42
3,16.4,0.6,21254,4,-1,-1,700,14734.7
4,15.09,0.2,14405,13,-1,-1,700,11960.94
5,18.98,0.3,17711,83,-1,-1,700,16577.8
6,16.46,0.3,18656,130,-1,-1,700,16082.03
7,10.12,0.1,20266,174,-1,-1,700,13132.09
8,8.16,0.3,21943,9,-1,-1,700,13248.72
9,9.07,0.2,14697,16,-1,-1,700,13514.93
10,14.63,0.3,13520,30,-1,-1,700,15519.53
11,5.82,0.0,26107,-1,-1,-1,700,9445.0
12,10.54,0.2,14587,21,-1,-1,700,13940.66
13,21.03,0.7,14309,23,-1,-1,700,16135.35
14,5.54,0.1,24080,97,-1,-1,700,11680.29
15,5.44,0.4,20995,1,-1,-1,700,9036.24
16,8.38,0.1,23408,106,-1,-1,700,13867.74
17,4.57,0.2,18766,3,-1,-1,700,7642.7
18,12.26,0.2,14264,93,-1,-1,700,17099.31
19,19.94,0.5,18554,12,-1,-1,700,16450.6
20,11.44,0.1,17312,324,-1,-1,700,13948.22
21,5.73,0.0,13336,-1,-1,-1,700,13835.8
22,10.47,0.4,22423,21,-1,-1,700,9808.01
23,23.4,0.3,12884,112,-1,-1,700,16569.18
24,13.06,0.3,15706,14,-1,-1,700,14865.98
25,13.88,0.2,19627,103,-1,-1,700,14352.12
26,9.76,0.1,19287,112,-1,-1,700,14679.12
27,8.02,0.2,16450,41,-1,-1,700,11682.81
28,12.34,0.3,14007,156,-1,-1,700,17330.26
29,13.72,0.3,16265,166,-1,-1,700,16284.19
30,18.89,0.5,16871,1,-1,-1,700,15431.67
