episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,0.76,0.0,1125,-1,-1,-1,500,2990.0
2,2.41,0.0,1849,-1,-1,-1,500,2542.0
3,5.13,0.2,2249,30,-1,-1,500,2965.0
4,0.63,0.0,1406,-1,-1,-1,500,2006.0
5,1.55,0.2,1409,11,-1,-1,500,2033.53
6,5.43,0.0,2530,-1,-1,-1,500,1134.0
7,0.65,0.0,3207,-1,-1,-1,500,1021.0
8,0.81,0.0,1498,-1,-1,-1,500,950.58
9,0.24,0.0,999,-1,-1,-1,500,1497.0
10,2.93,0.2,2716,50,-1,-1,500,2070.0
11,1.03,0.0,1985,-1,-1,-1,500,2009.0
12,1.11,0.0,3256,-1,-1,-1,500,1046.39
13,1.75,0.0,2272,-1,-1,-1,500,1678.0
14,1.08,0.0,1226,-1,-1,-1,500,2986.0
15,2.38,0.2,3779,6,-1,-1,500,236.0
16,2.28,0.2,2985,18,-1,-1,500,1637.0
17,2.77,0.0,2437,-1,-1,-1,500,1845.58
18,2.04,0.0,1204,-1,-1,-1,500,2894.2
19,1.98,0.0,518,-1,-1,-1,500,1775.28
20,0.6,0.2,1455,1,-1,-1,500,1992.0
21,0.51,0.2,3476,7,-1,-1,500,518.0
22,1.41,0.0,982,-1,-1,-1,500,2922.51
23,0.35,0.2,2724,1,-1,-1,500,996.0
24,2.85,0.0,3306,-1,-1,-1,500,1222.0
25,5.32,0.2,3564,29,-1,-1,500,1640.18
26,0.91,0.2,480,6,-1,-1,500,1944.71
27,2.1,0.0,3514,-1,-1,-1,500,2049.73
28,3.17,0.4,2126,2,-1,-1,500,3140.2
29,0.58,0.0,1426,-1,-1,-1,500,2491.0
30,2.49,0.0,2374,-1,-1,-1,500,1079.0
