episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,0.77,0.0,2323,-1,-1,-1,500,2050.0
2,1.64,0.0,5301,-1,-1,-1,500,1057.0
3,0.93,0.2,3188,75,-1,-1,500,1020.0
4,2.83,0.2,3082,43,-1,-1,500,1600.0
5,2.12,0.0,3804,-1,-1,-1,500,216.0
6,1.25,0.0,2853,-1,-1,-1,500,124.0
7,0.41,0.0,3473,-1,-1,-1,500,24.0
8,1.0,0.2,2961,2,-1,-1,500,1031.58
9,0.73,0.2,1676,1,-1,-1,500,2030.0
10,2.33,0.0,3825,-1,-1,-1,500,675.0
11,0.65,0.2,1988,1,-1,-1,500,1008.0
12,5.24,0.0,621,-1,-1,-1,500,1790.98
13,1.07,0.0,475,-1,-1,-1,500,2935.27
14,1.45,0.0,2489,-1,-1,-1,500,1006.0
15,1.66,0.0,2933,-1,-1,-1,500,1060.0
16,0.66,0.0,1699,-1,-1,-1,500,2993.0
17,3.91,0.0,1529,-1,-1,-1,500,973.92
18,1.55,0.0,503,-1,-1,-1,500,1982.44
19,1.83,0.0,2867,-1,-1,-1,500,629.0
20,0.76,0.0,1733,-1,-1,-1,500,1929.3
21,1.47,0.0,2490,-1,-1,-1,500,1245.0
22,1.91,0.0,1875,-1,-1,-1,500,2567.0
23,0.79,0.0,3129,-1,-1,-1,500,1040.0
24,2.91,0.2,1687,15,-1,-1,500,2060.45
25,0.63,0.0,3226,-1,-1,-1,500,1009.0
26,0.98,0.0,3878,-1,-1,-1,500,107.0
27,0.81,0.2,3947,13,-1,-1,500,546.0
28,1.96,0.2,2624,97,-1,-1,500,1572.0
29,1.02,0.0,1711,-1,-1,-1,500,1517.0
30,1.87,0.0,3824,-1,-1,-1,500,178.0
