episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,5.6,0.125,2029,41,-1,-1,600,12947.0
2,5.71,0.375,2886,8,-1,-1,600,12091.0
3,5.17,0.0,5305,-1,-1,-1,600,9672.0
4,5.58,0.25,2983,17,-1,-1,600,11993.0
5,5.52,0.125,4211,9,-1,-1,600,10764.0
6,5.32,0.125,4116,43,-1,-1,600,10861.0
7,5.59,0.0,5030,-1,-1,-1,600,9946.0
8,5.0,0.125,5244,29,-1,-1,600,9731.0
9,5.75,0.125,1780,1,-1,-1,600,13196.0
10,5.25,0.25,4609,2,-1,-1,600,10368.0
11,5.15,0.125,6169,4,-1,-1,600,8808.0
12,5.66,0.125,4223,46,-1,-1,600,10752.0
13,5.88,0.125,3878,5,-1,-1,600,12300.0
14,4.82,0.25,4122,1,-1,-1,600,10853.0
15,5.19,0.0,3580,-1,-1,-1,600,11397.0
16,4.69,0.125,3535,5,-1,-1,600,11440.0
17,5.32,0.375,2443,2,-1,-1,600,12532.0
18,5.11,0.25,4178,1,-1,-1,600,12000.0
19,5.4,0.25,6000,15,-1,-1,600,8976.0
20,5.76,0.5,3554,5,-1,-1,600,11422.0
21,5.38,0.25,1757,4,-1,-1,600,13220.0
22,4.81,0.25,6775,5,-1,-1,600,8201.0
23,5.17,0.125,3636,15,-1,-1,600,11339.0
24,4.97,0.125,3021,2,-1,-1,600,11955.0
25,5.42,0.25,2457,40,-1,-1,600,12519.0
26,5.21,0.0,2908,-1,-1,-1,600,12069.0
27,5.18,0.5,4350,1,-1,-1,600,10626.0
28,4.94,0.25,6206,30,-1,-1,600,8770.0
29,4.9,0.125,4316,3,-1,-1,600,10662.0
30,5.56,0.25,2867,8,-1,-1,600,12108.0
