episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,57.87,0.25,6134,2,-1,-1,500,2077.35
2,68.32,0.25,11231,1,-1,-1,500,2708.18
3,67.4,0.875,13490,2,-1,-1,500,2795.93
4,76.59,0.375,7650,1,-1,-1,500,2532.13
5,53.0,0.125,14222,197,-1,-1,500,2846.99
6,76.52,0.5,13439,10,-1,-1,500,2867.92
7,71.65,0.5,10072,1,-1,-1,500,2710.5
8,60.9,0.375,10138,1,-1,-1,500,2263.72
9,71.59,0.25,9159,15,-1,-1,500,2412.26
10,59.72,0.25,8502,51,-1,-1,500,2168.89
11,72.42,0.5,12054,3,-1,-1,500,2924.77
12,62.8,0.5,13317,1,-1,-1,500,2845.9
13,37.71,0.0,8227,-1,-1,-1,500,1991.66
14,60.58,0.5,14177,2,-1,-1,500,2865.0
15,57.26,0.375,12429,1,-1,-1,500,2385.18
16,44.99,0.25,10470,1,-1,-1,500,2240.18
17,63.15,0.375,8860,4,-1,-1,500,2384.5
18,51.19,0.25,14731,1,-1,-1,500,2758.89
19,54.73,0.375,6955,1,-1,-1,500,2043.32
20,48.32,0.375,8681,19,-1,-1,500,2031.36
21,75.96,0.375,7847,1,-1,-1,500,2279.02
22,52.47,0.125,9060,18,-1,-1,500,2184.55
23,50.74,0.125,12858,1,-1,-1,500,2505.07
24,55.16,0.5,12123,1,-1,-1,500,2488.51
25,53.3,0.375,14981,1,-1,-1,500,2620.46
26,67.39,0.5,10041,1,-1,-1,500,2308.19
27,73.05,0.375,10540,30,-1,-1,500,2518.88
28,44.92,0.875,8044,1,-1,-1,500,1938.55
29,56.16,0.375,11329,1,-1,-1,500,2471.63
30,60.61,0.5,9859,1,-1,-1,500,2397.66
