episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,85.08,0.333,302,109,-1,-1,300,1129.91
2,55.88,0.0,600,-1,-1,-1,300,1043.76
3,79.4,0.333,0,1,-1,-1,300,1487.35
4,65.56,0.0,600,-1,-1,-1,300,821.33
5,58.72,0.0,604,-1,-1,-1,300,796.09
6,74.84,0.0,6,-1,-1,-1,300,1652.35
7,84.48,1.0,334,11,-1,167,167,579.79
8,61.48,0.0,300,-1,-1,-1,300,1445.77
9,76.28,0.0,303,-1,-1,-1,300,1151.76
10,77.16,0.667,324,125,-1,-1,300,1128.29
11,64.72,0.333,900,1,-1,-1,300,681.66
12,59.44,0.0,312,-1,-1,-1,300,960.22
13,57.68,1.0,316,10,-1,158,158,396.53
14,83.64,0.0,611,-1,-1,-1,300,1036.99
15,55.0,0.0,602,-1,-1,-1,300,1084.93
16,77.16,0.333,1201,31,-1,-1,300,341.13
17,63.56,0.333,601,165,-1,-1,300,755.06
18,83.08,0.0,300,-1,-1,-1,300,1438.66
19,77.36,0.0,306,-1,-1,-1,300,1335.41
20,59.36,0.0,57,-1,-1,-1,300,1233.23
21,63.68,0.333,618,93,-1,-1,300,1088.43
22,67.36,0.0,35,-1,-1,-1,300,1169.44
23,74.04,0.333,307,43,-1,-1,300,1090.93
24,64.88,0.0,318,-1,-1,-1,300,1319.57
25,52.2,0.333,900,7,-1,-1,300,386.12
26,83.16,0.0,315,-1,-1,-1,300,1097.69
27,96.88,0.667,301,1,141,-1,300,1043.03
28,81.08,0.0,600,-1,-1,-1,300,997.8
29,91.04,0.0,1,-1,263,-1,300,1479.22
30,51.64,0.0,601,-1,-1,-1,300,1057.69
