episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,76.24,0.2,427,16,-1,-1,500,4370.3
2,49.34,0.2,848,15,-1,-1,500,4372.69
3,78.56,0.2,1604,1,-1,-1,500,3626.69
4,79.84,0.0,568,-1,-1,-1,500,4711.4
5,79.61,0.2,1249,264,-1,-1,500,3285.28
6,84.75,0.6,599,15,-1,-1,500,4812.87
7,72.41,0.2,631,340,-1,-1,500,3736.33
8,65.29,0.0,1180,-1,-1,-1,500,3464.03
9,72.95,0.6,993,4,-1,-1,500,3417.47
10,60.31,0.0,2135,-1,-1,-1,500,2866.84
11,87.11,0.0,228,-1,-1,-1,500,3920.75
12,75.56,0.6,1017,9,-1,-1,500,4388.29
13,78.39,0.6,550,25,-1,-1,500,4144.05
14,83.77,0.2,138,34,-1,-1,500,3856.37
15,64.87,0.0,2250,-1,-1,-1,500,2480.7
16,70.38,0.4,1120,253,-1,-1,500,3776.58
17,63.93,0.0,1768,-1,-1,-1,500,3492.12
18,86.1,0.2,557,2,-1,-1,500,4015.99
19,70.83,0.4,425,3,-1,-1,500,4069.88
20,70.86,0.0,982,-1,-1,-1,500,2849.6
21,75.63,0.0,607,-1,-1,-1,500,3761.88
22,89.51,0.4,176,96,-1,-1,500,4198.7
23,79.65,0.4,816,15,-1,-1,500,4002.04
24,74.61,0.4,743,35,-1,-1,500,2971.49
25,62.21,0.2,1292,52,-1,-1,500,3052.41
26,81.72,0.4,1108,23,-1,-1,500,3813.4
27,79.95,0.4,1175,14,-1,-1,500,3133.08
28,76.96,0.6,535,163,-1,-1,500,4103.23
29,88.78,0.4,988,22,-1,-1,500,3754.38
30,90.81,0.4,333,77,341,-1,500,4137.3
