episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,48.9,0.6,14513,39,-1,-1,500,2728.62
2,60.19,0.2,9182,230,-1,-1,500,2547.8
3,78.96,0.2,12641,1,-1,-1,500,3023.91
4,48.26,0.2,12774,21,-1,-1,500,2429.22
5,55.19,0.2,9471,43,-1,-1,500,2220.98
6,49.79,0.4,12035,24,-1,-1,500,2452.77
7,79.17,0.8,6125,8,-1,-1,500,2140.87
8,69.39,0.6,11237,13,-1,-1,500,2638.63
9,69.06,0.4,8775,66,-1,-1,500,2378.71
10,47.79,0.6,10124,19,-1,-1,500,2287.4
11,51.94,0.4,7693,1,-1,-1,500,1928.47
12,63.31,0.6,13379,61,-1,-1,500,3044.91
13,62.59,0.6,10704,2,-1,-1,500,2652.94
14,69.99,0.2,10975,1,-1,-1,500,2694.38
15,66.0,0.4,13149,4,-1,-1,500,3026.92
16,63.8,0.0,8315,-1,-1,-1,500,1998.37
17,46.25,0.2,15309,23,-1,-1,500,2696.07
18,53.42,0.2,14810,38,-1,-1,500,2836.42
19,64.88,0.2,10119,126,-1,-1,500,2744.89
20,78.08,0.4,12817,1,-1,-1,500,3017.92
21,64.73,1.0,289,1,-1,116,116,931.08
22,74.49,0.8,11906,1,-1,-1,500,2793.0
23,51.18,0.4,12427,56,-1,-1,500,2561.39
24,57.86,0.8,13381,1,-1,-1,500,2979.8
25,62.13,0.4,13795,78,-1,-1,500,2760.16
26,62.29,0.4,10712,43,-1,-1,500,2635.8
27,53.0,0.4,13931,17,-1,-1,500,2820.22
28,67.51,0.2,7779,163,-1,-1,500,2353.86
29,64.95,0.6,10808,3,-1,-1,500,2722.2
30,64.32,0.6,13270,1,-1,-1,500,2847.99
