episode,coverage_pct,detection_rate,total_collisions,steps_to_first_target,steps_to_90pct_coverage,time_to_detect_all,episode_length,total_path_length
1,3.87,0.0,7666,-1,-1,-1,600,7313.0
2,4.54,0.0,7066,-1,-1,-1,600,7912.0
3,3.81,0.0,7417,-1,-1,-1,600,7564.0
4,4.07,0.125,7226,23,-1,-1,600,7753.0
5,2.46,0.0,10016,-1,-1,-1,600,4962.0
6,3.61,0.0,7419,-1,-1,-1,600,7558.0
7,2.99,0.375,9354,6,-1,-1,600,5627.0
8,3.12,0.25,9382,16,-1,-1,600,5599.0
9,4.23,0.125,8065,58,-1,-1,600,6913.0
10,4.4,0.0,6973,-1,-1,-1,600,8002.0
11,4.52,0.375,9221,1,-1,-1,600,5759.0
12,4.18,0.0,8082,-1,-1,-1,600,6895.0
13,4.73,0.0,5628,-1,-1,-1,600,9349.0
14,3.02,0.125,8884,78,-1,-1,600,6095.0
15,3.76,0.25,9247,20,-1,-1,600,5730.0
16,3.36,0.0,9376,-1,-1,-1,600,5603.0
17,4.29,0.125,11115,56,-1,-1,600,3862.0
18,4.45,0.375,8255,4,-1,-1,600,6721.0
19,3.2,0.125,9329,31,-1,-1,600,5648.0
20,3.04,0.25,11102,12,-1,-1,600,3876.0
21,2.47,0.125,10575,45,-1,-1,600,4404.0
22,3.62,0.0,7244,-1,-1,-1,600,7734.0
23,4.53,0.0,6365,-1,-1,-1,600,8612.0
24,4.31,0.125,6945,18,-1,-1,600,8031.0
25,3.8,0.125,9795,14,-1,-1,600,5183.0
26,4.9,0.0,4454,-1,-1,-1,600,10523.0
27,4.18,0.0,8001,-1,-1,-1,600,6974.0
28,4.0,0.0,8339,-1,-1,-1,600,6637.0
29,3.98,0.125,10644,10,-1,-1,600,4333.0
30,3.28,0.125,9911,25,-1,-1,600,5068.0
